gameid,date,type,playerid,player,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,win,season
20000358,2000-12-19,regular,1907,Vonteego Cummings,GSW,GSW,MIN,29,12,3,6,50.0,2,3,66.7,4,5,80.0,0,1,1,3,2,0,0,2,16,1,2001
20000358,2000-12-19,regular,302,Mookie Blaylock,GSW,GSW,MIN,39,18,8,9,88.9,0,1,0.0,2,2,100.0,3,6,9,10,3,0,2,2,36,1,2001
20000358,2000-12-19,regular,1531,Marc Jackson,GSW,GSW,MIN,43,31,11,17,64.7,1,2,50.0,8,11,72.7,4,6,10,2,3,5,3,3,10,1,2001
20000358,2000-12-19,regular,682,Bob Sura,GSW,GSW,MIN,9,0,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,4,0,0,2,1,-15,1,2001
20000358,2000-12-19,regular,1712,Antawn Jamison,GSW,GSW,MIN,45,26,11,17,64.7,0,2,0.0,4,6,66.7,4,3,7,0,2,1,0,2,26,1,2001
20000358,2000-12-19,regular,1716,Larry Hughes,GSW,GSW,MIN,39,16,6,17,35.3,0,1,0.0,4,6,66.7,1,3,4,7,5,1,3,2,17,1,2001
20000358,2000-12-19,regular,2084,Chris Porter,GSW,GSW,MIN,29,14,4,12,33.3,0,0,0.0,6,6,100.0,3,7,10,3,0,0,1,2,13,1,2001
20000358,2000-12-19,regular,1497,Chauncey Billups,MIN,GSW,MIN,35,10,4,12,33.3,1,6,16.7,1,1,100.0,1,2,3,7,1,1,1,3,-24,0,2001
20000358,2000-12-19,regular,1895,William Avery,MIN,GSW,MIN,19,16,6,11,54.5,2,4,50.0,2,2,100.0,1,1,2,6,1,0,4,4,-5,0,2001
20000358,2000-12-19,regular,708,Kevin Garnett,MIN,GSW,MIN,44,29,11,21,52.4,0,0,0.0,7,8,87.5,5,11,16,2,0,3,6,4,-13,0,2001
20000358,2000-12-19,regular,1725,Rasho Nesterovic,MIN,GSW,MIN,2,2,1,1,100.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3,-3,0,2001
20000358,2000-12-19,regular,417,Sam Mitchell,MIN,GSW,MIN,4,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,-9,0,2001
20000358,2000-12-19,regular,1734,Sam Jacobson,MIN,GSW,MIN,16,2,1,4,25.0,0,0,0.0,0,0,0.0,1,1,2,2,1,0,0,3,3,0,2001
20000358,2000-12-19,regular,210,Terrell Brandon,MIN,GSW,MIN,24,6,3,11,27.3,0,0,0.0,0,0,0.0,2,2,4,4,0,0,2,2,-9,0,2001
20000358,2000-12-19,regular,111,LaPhonso Ellis,MIN,GSW,MIN,26,14,6,10,60.0,0,0,0.0,2,2,100.0,3,4,7,0,0,1,1,4,-9,0,2001
20000358,2000-12-19,regular,1073,Reggie Slater,MIN,GSW,MIN,4,0,0,0,0.0,0,0,0.0,0,2,0.0,0,1,1,1,0,0,0,2,-8,0,2001
20000358,2000-12-19,regular,1887,Wally Szczerbiak,MIN,GSW,MIN,21,5,2,7,28.6,1,1,100.0,0,0,0.0,3,0,3,1,2,0,2,0,-12,0,2001
20000358,2000-12-19,regular,1051,Dean Garrett,MIN,GSW,MIN,15,4,2,3,66.7,0,0,0.0,0,0,0.0,3,3,6,1,0,1,1,1,-3,0,2001
